epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,5572.46,1.04744,2.6677,1.13407,0.75047,0.15335,0.21633,0.17634,1.28255,3.24559,1.30732,3.02072e-05,3.02072e-05,3.02072e-05
40,5713.02,1.08362,2.50975,1.11058,0.75355,0.14844,0.21894,0.17992,1.27961,3.2234,1.31054,2.77916e-05,2.77916e-05,2.77916e-05
41,5853.63,1.04204,2.47494,1.16094,0.7523,0.15233,0.22908,0.18835,1.27326,3.17412,1.30477,2.5376e-05,2.5376e-05,2.5376e-05
42,5993.08,1.08888,2.4884,1.19151,0.75554,0.14788,0.23408,0.19324,1.27226,3.15972,1.30243,2.29604e-05,2.29604e-05,2.29604e-05
43,6128.83,1.0683,2.44074,1.16728,0.75809,0.14767,0.24539,0.20074,1.28459,3.15647,1.30871,2.05448e-05,2.05448e-05,2.05448e-05
44,6261.93,1.06604,2.42882,1.14004,0.63352,0.18197,0.24607,0.20233,1.28835,3.14972,1.31782,1.81292e-05,1.81292e-05,1.81292e-05
45,6398.94,1.07649,2.38913,1.14671,0.62691,0.1828,0.24527,0.20194,1.28347,3.14472,1.31471,1.57136e-05,1.57136e-05,1.57136e-05
46,6538.2,1.03648,2.41372,1.1488,0.61039,0.18063,0.24701,0.20226,1.28328,3.14144,1.31467,1.3298e-05,1.3298e-05,1.3298e-05
47,6677.71,1.02299,2.40887,1.13662,0.61011,0.18141,0.24876,0.20309,1.28895,3.12591,1.31871,1.08824e-05,1.08824e-05,1.08824e-05
48,6814.45,1.0499,2.27796,1.13348,0.61002,0.18096,0.25269,0.20615,1.28581,3.12013,1.31743,8.4668e-06,8.4668e-06,8.4668e-06
49,6954.15,1.07233,2.47836,1.13796,0.53376,0.19668,0.25343,0.20714,1.28498,3.10833,1.31781,6.0512e-06,6.0512e-06,6.0512e-06
50,7094.73,1.01597,2.34067,1.12173,0.55257,0.19217,0.25206,0.20589,1.28385,3.09378,1.31891,3.6356e-06,3.6356e-06,3.6356e-06
